title,subtitle,url,star,quote
"['美国往事', '\xa0/\xa0Once Upon a Time in America']",['\xa0/\xa0四海兄弟(台)  /  义薄云天(港)'],https://movie.douban.com/subject/1292262/,9.2,往事如烟，无处祭奠。
"['心灵捕手', '\xa0/\xa0Good Will Hunting']",['\xa0/\xa0骄阳似我(港)  /  心灵捕手'],https://movie.douban.com/subject/1292656/,8.9,人生中应该拥有这样的一段豁然开朗。
"['低俗小说', '\xa0/\xa0Pulp Fiction']",['\xa0/\xa0危险人物(港)  /  黑色追缉令(台)'],https://movie.douban.com/subject/1291832/,8.9,故事的高级讲法。
"['春光乍泄', '\xa0/\xa0春光乍洩']",['\xa0/\xa0一起快乐  /  Happy Together'],https://movie.douban.com/subject/1292679/,9.0,爱情纠缠，男女一致。
"['摩登时代', '\xa0/\xa0Modern Times']",['\xa0/\xa0The Masses  /  Les Temps modernes'],https://movie.douban.com/subject/1294371/,9.3,大时代中的人生，小人物的悲喜。
"['七宗罪', '\xa0/\xa0Se7en']",['\xa0/\xa0火线追缉令(台)  /  7宗罪'],https://movie.douban.com/subject/1292223/,8.8,警察抓小偷，老鼠玩死猫。
"['喜剧之王', '\xa0/\xa0喜劇之王']",['\xa0/\xa0King of Comedy'],https://movie.douban.com/subject/1302425/,8.8,我是一个演员。
"['致命ID', '\xa0/\xa0Identity']",['\xa0/\xa0杀人游戏  /  致命身份'],https://movie.douban.com/subject/1297192/,8.8,最不可能的那个人永远是最可能的。
"['杀人回忆', '\xa0/\xa0살인의 추억']",['\xa0/\xa0谋杀回忆  /  杀手回忆录'],https://movie.douban.com/subject/1300299/,8.9,关于连环杀人悬案的集体回忆。
['功夫'],['\xa0/\xa0功夫3D  /  Kung Fu Hustle'],https://movie.douban.com/subject/1291543/,8.7,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
"['超脱', '\xa0/\xa0Detachment']",['\xa0/\xa0人间师格(台)'],https://movie.douban.com/subject/5322596/,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。
"['哈利·波特与阿兹卡班的囚徒', '\xa0/\xa0Harry Potter and the Prisoner of Azkaban']",['\xa0/\xa0哈利波特3：阿兹卡班的逃犯(港 / 台) '],https://movie.douban.com/subject/1291544/,8.9,不一样的导演，不一样的哈利·波特。
"['加勒比海盗', '\xa0/\xa0Pirates of the Caribbean: The Curse of the Black Pearl']",['\xa0/\xa0加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台)'],https://movie.douban.com/subject/1298070/,8.8,约翰尼·德普的独角戏。
"['红辣椒', '\xa0/\xa0パプリカ']",['\xa0/\xa0盗梦侦探(港 / 台) '],https://movie.douban.com/subject/1865703/,9.0,梦的勾结。
"['被嫌弃的松子的一生', '\xa0/\xa0嫌われ松子の一生']",['\xa0/\xa0花样奇缘(港)  /  令人讨厌的松子的一生(台)'],https://movie.douban.com/subject/1787291/,8.9,以戏谑来戏谑戏谑。
"['狩猎', '\xa0/\xa0Jagten']",['\xa0/\xa0诬网(港)  /  谎言的烙印(台)'],https://movie.douban.com/subject/6985810/,9.1,人言可畏。
"['请以你的名字呼唤我', '\xa0/\xa0Call Me by Your Name']",['\xa0/\xa0以你的名字呼唤我(港 / 台) '],https://movie.douban.com/subject/26799731/,8.9,沉醉在电影的情感和视听氛围中无法自拔。
"['7号房的礼物', '\xa0/\xa07번방의 선물']",['\xa0/\xa0戆爸的礼物(港)  /  7号囚房的礼物'],https://movie.douban.com/subject/10777687/,8.9,《我是山姆》的《美丽人生》。
"['剪刀手爱德华', '\xa0/\xa0Edward Scissorhands']",['\xa0/\xa0幻海奇缘(港)  /  剪刀手爱德华'],https://movie.douban.com/subject/1292370/,8.7,浪漫忧郁的成人童话。
"['勇敢的心', '\xa0/\xa0Braveheart']",['\xa0/\xa0惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台)'],https://movie.douban.com/subject/1294639/,8.9,史诗大片的典范。
